Batsman,Bowler,0,1,2,3,4,5,6,7+,Wickets,Runs,Balls
AD Mathews,GJ Maxwell,1,3,0,0,0,0,0,0,0,3,4
AD Mathews,GP Swann,1,0,0,0,0,0,0,0,0,0,1
AD Mathews,Harbhajan Singh,0,1,0,0,0,0,0,0,0,1,1
AD Mathews,HH Pandya,9,4,0,0,2,0,1,0,2,18,16
AD Mathews,HV Patel,2,1,0,0,0,0,0,0,0,1,3
AD Mathews,IK Pathan,3,0,0,0,1,0,0,0,0,4,4
AD Mathews,Imad Wasim,3,1,1,0,0,0,0,0,1,3,5
AD Mathews,Imran Tahir,4,11,1,0,1,0,1,0,0,23,18
AD Mathews,J Suchith,1,2,0,0,0,0,0,0,0,2,3
AD Mathews,JA Morkel,1,1,0,0,0,0,0,0,0,1,2
AD Mathews,JC Tredwell,3,3,0,0,0,0,1,0,1,9,7
AD Mathews,JDS Neesham,1,1,1,0,0,0,0,0,0,3,3
AD Mathews,JE Taylor,1,2,1,0,0,0,1,0,0,10,5
AD Mathews,JEC Franklin,0,4,1,0,0,0,0,0,0,6,5
AD Mathews,JP Duminy,2,1,0,0,0,0,0,0,1,1,3
AD Mathews,JP Faulkner,5,2,3,0,2,0,1,0,0,22,13
AD Mathews,K Santokie,0,3,1,0,2,0,1,0,0,19,7
AD Mathews,KA Pollard,1,2,1,0,0,0,0,0,0,4,4
AD Mathews,LA Dawson,1,3,0,0,1,0,0,0,1,7,5
AD Mathews,LE Plunkett,4,6,0,0,0,0,0,0,0,6,10
AD Mathews,LL Tsotsobe,0,3,2,0,1,0,0,0,0,11,6
AD Mathews,M Morkel,1,3,2,0,1,0,0,0,0,11,7
AD Mathews,MA Starc,0,2,0,0,0,0,0,0,0,2,2
AD Mathews,MJ Henry,3,0,0,0,1,0,0,0,1,4,4
AD Mathews,MJ McClenaghan,7,8,3,0,2,0,1,0,2,28,21
AD Mathews,MJ Santner,5,4,1,0,0,0,2,0,0,18,12
AD Mathews,MM Ali,0,4,1,0,0,0,2,0,0,18,7
AD Mathews,MN Samuels,1,1,0,0,0,0,0,0,0,1,2
AD Mathews,Mohammad Hafeez,7,8,0,0,0,0,1,0,0,14,16
AD Mathews,Mohammad Irfan,4,2,1,0,1,0,0,0,0,8,8
AD Mathews,Mohammad Sami,0,4,0,0,0,0,0,0,0,4,4
AD Mathews,NL McCullum,2,2,0,0,0,0,0,0,0,2,4
AD Mathews,P Kumar,0,2,0,0,0,0,1,0,0,8,3
AD Mathews,PP Chawla,0,4,0,0,1,0,0,0,0,8,5
AD Mathews,R Ashwin,0,2,0,2,1,0,0,0,0,12,5
AD Mathews,R Bhatia,0,1,0,0,0,0,0,0,0,1,1
AD Mathews,R Rampaul,0,1,0,0,0,0,0,0,0,1,1
AD Mathews,RA Jadeja,2,1,0,0,1,0,0,0,0,5,4
